BODY,STOPWORDS,LEMMATIZED,STEMMED,BIGRAMS,TRIGRAMS
the scheduling woman is very professional and kind friendly staff at checkin technician tim is quick and efficient tim even noticed i may have an umbilical hernia and he suggested i get that checked great team,the scheduling woman is very professional and kind friendly staff at checkin technician tim is quick and efficient tim even noticed i may have an umbilical hernia and he suggested i get that checked great team,the scheduling woman be very professional and kind friendly staff at checkin technician tim be quick and efficient tim even notice I may have an umbilical hernia and he suggest I get that check great team,the schedul woman be veri profession and kind friend staff at checkin technician tim be quick and effici tim even notic i may have an umbil hernia and he suggest i get that check great team,"('the', 'schedul'), ('schedul', 'woman'), ('woman', 'be'), ('be', 'veri'), ('veri', 'profession'), ('profession', 'and'), ('and', 'kind'), ('kind', 'friend'), ('friend', 'staff'), ('staff', 'at'), ('at', 'checkin'), ('checkin', 'technician'), ('technician', 'tim'), ('tim', 'be'), ('be', 'quick'), ('quick', 'and'), ('and', 'effici'), ('effici', 'tim'), ('tim', 'even'), ('even', 'notic'), ('notic', 'i'), ('i', 'may'), ('may', 'have'), ('have', 'an'), ('an', 'umbil'), ('umbil', 'hernia'), ('hernia', 'and'), ('and', 'he'), ('he', 'suggest'), ('suggest', 'i'), ('i', 'get'), ('get', 'that'), ('that', 'check'), ('check', 'great'), ('great', 'team')","('the', 'schedul', 'woman'), ('schedul', 'woman', 'be'), ('woman', 'be', 'veri'), ('be', 'veri', 'profession'), ('veri', 'profession', 'and'), ('profession', 'and', 'kind'), ('and', 'kind', 'friend'), ('kind', 'friend', 'staff'), ('friend', 'staff', 'at'), ('staff', 'at', 'checkin'), ('at', 'checkin', 'technician'), ('checkin', 'technician', 'tim'), ('technician', 'tim', 'be'), ('tim', 'be', 'quick'), ('be', 'quick', 'and'), ('quick', 'and', 'effici'), ('and', 'effici', 'tim'), ('effici', 'tim', 'even'), ('tim', 'even', 'notic'), ('even', 'notic', 'i'), ('notic', 'i', 'may'), ('i', 'may', 'have'), ('may', 'have', 'an'), ('have', 'an', 'umbil'), ('an', 'umbil', 'hernia'), ('umbil', 'hernia', 'and'), ('hernia', 'and', 'he'), ('and', 'he', 'suggest'), ('he', 'suggest', 'i'), ('suggest', 'i', 'get'), ('i', 'get', 'that'), ('get', 'that', 'check'), ('that', 'check', 'great'), ('check', 'great', 'team')"
it took weeks and several phone calls to be able to schedule an appointment i never experienced this before i was given different explanations from different people i also was not pleased that radiologist tried to speak with me from hallway when i was sitting in gown in the dressing room very different from my last experience where i got dressed and went to a room to meet with radiologisti felt that she did not have time for me which was disconcerting,it took weeks and several phone calls to be able to schedule an appointment i never experienced this before i was given different explanations from different people i also was not pleased that radiologist tried to speak with me from hallway when i was sitting in gown in the dressing room very different from my last experience where i got dressed and went to a room to meet with radiologisti felt that she did not have time for me which was disconcerting,it take week and several phone call to be able to schedule an appointment I never experience this before I be give different explanation from different people I also be not pleased that radiologist try to speak with I from hallway when I be sit in gown in the dressing room very different from my last experience where I get dress and go to a room to meet with radiologisti feel that she do not have time for I which be disconcert,it take week and sever phone call to be abl to schedul an appoint i never experi this befor i be give differ explan from differ peopl i also be not pleas that radiologist tri to speak with i from hallway when i be sit in gown in the dress room veri differ from my last experi where i get dress and go to a room to meet with radiologisti feel that she do not have time for i which be disconcert,"('it', 'take'), ('take', 'week'), ('week', 'and'), ('and', 'sever'), ('sever', 'phone'), ('phone', 'call'), ('call', 'to'), ('to', 'be'), ('be', 'abl'), ('abl', 'to'), ('to', 'schedul'), ('schedul', 'an'), ('an', 'appoint'), ('appoint', 'i'), ('i', 'never'), ('never', 'experi'), ('experi', 'this'), ('this', 'befor'), ('befor', 'i'), ('i', 'be'), ('be', 'give'), ('give', 'differ'), ('differ', 'explan'), ('explan', 'from'), ('from', 'differ'), ('differ', 'peopl'), ('peopl', 'i'), ('i', 'also'), ('also', 'be'), ('be', 'not'), ('not', 'pleas'), ('pleas', 'that'), ('that', 'radiologist'), ('radiologist', 'tri'), ('tri', 'to'), ('to', 'speak'), ('speak', 'with'), ('with', 'i'), ('i', 'from'), ('from', 'hallway'), ('hallway', 'when'), ('when', 'i'), ('i', 'be'), ('be', 'sit'), ('sit', 'in'), ('in', 'gown'), ('gown', 'in'), ('in', 'the'), ('the', 'dress'), ('dress', 'room'), ('room', 'veri'), ('veri', 'differ'), ('differ', 'from'), ('from', 'my'), ('my', 'last'), ('last', 'experi'), ('experi', 'where'), ('where', 'i'), ('i', 'get'), ('get', 'dress'), ('dress', 'and'), ('and', 'go'), ('go', 'to'), ('to', 'a'), ('a', 'room'), ('room', 'to'), ('to', 'meet'), ('meet', 'with'), ('with', 'radiologisti'), ('radiologisti', 'feel'), ('feel', 'that'), ('that', 'she'), ('she', 'do'), ('do', 'not'), ('not', 'have'), ('have', 'time'), ('time', 'for'), ('for', 'i'), ('i', 'which'), ('which', 'be'), ('be', 'disconcert')","('it', 'take', 'week'), ('take', 'week', 'and'), ('week', 'and', 'sever'), ('and', 'sever', 'phone'), ('sever', 'phone', 'call'), ('phone', 'call', 'to'), ('call', 'to', 'be'), ('to', 'be', 'abl'), ('be', 'abl', 'to'), ('abl', 'to', 'schedul'), ('to', 'schedul', 'an'), ('schedul', 'an', 'appoint'), ('an', 'appoint', 'i'), ('appoint', 'i', 'never'), ('i', 'never', 'experi'), ('never', 'experi', 'this'), ('experi', 'this', 'befor'), ('this', 'befor', 'i'), ('befor', 'i', 'be'), ('i', 'be', 'give'), ('be', 'give', 'differ'), ('give', 'differ', 'explan'), ('differ', 'explan', 'from'), ('explan', 'from', 'differ'), ('from', 'differ', 'peopl'), ('differ', 'peopl', 'i'), ('peopl', 'i', 'also'), ('i', 'also', 'be'), ('also', 'be', 'not'), ('be', 'not', 'pleas'), ('not', 'pleas', 'that'), ('pleas', 'that', 'radiologist'), ('that', 'radiologist', 'tri'), ('radiologist', 'tri', 'to'), ('tri', 'to', 'speak'), ('to', 'speak', 'with'), ('speak', 'with', 'i'), ('with', 'i', 'from'), ('i', 'from', 'hallway'), ('from', 'hallway', 'when'), ('hallway', 'when', 'i'), ('when', 'i', 'be'), ('i', 'be', 'sit'), ('be', 'sit', 'in'), ('sit', 'in', 'gown'), ('in', 'gown', 'in'), ('gown', 'in', 'the'), ('in', 'the', 'dress'), ('the', 'dress', 'room'), ('dress', 'room', 'veri'), ('room', 'veri', 'differ'), ('veri', 'differ', 'from'), ('differ', 'from', 'my'), ('from', 'my', 'last'), ('my', 'last', 'experi'), ('last', 'experi', 'where'), ('experi', 'where', 'i'), ('where', 'i', 'get'), ('i', 'get', 'dress'), ('get', 'dress', 'and'), ('dress', 'and', 'go'), ('and', 'go', 'to'), ('go', 'to', 'a'), ('to', 'a', 'room'), ('a', 'room', 'to'), ('room', 'to', 'meet'), ('to', 'meet', 'with'), ('meet', 'with', 'radiologisti'), ('with', 'radiologisti', 'feel'), ('radiologisti', 'feel', 'that'), ('feel', 'that', 'she'), ('that', 'she', 'do'), ('she', 'do', 'not'), ('do', 'not', 'have'), ('not', 'have', 'time'), ('have', 'time', 'for'), ('time', 'for', 'i'), ('for', 'i', 'which'), ('i', 'which', 'be'), ('which', 'be', 'disconcert')"
friendly and sensitive to my needs,friendly and sensitive to my needs,friendly and sensitive to my need,friend and sensit to my need,"('friend', 'and'), ('and', 'sensit'), ('sensit', 'to'), ('to', 'my'), ('my', 'need')","('friend', 'and', 'sensit'), ('and', 'sensit', 'to'), ('sensit', 'to', 'my'), ('to', 'my', 'need')"
the one thing i didn't like is that i had to digitally sign the treatment agreement without being able to read it first she could give me a copy only after i had signed not a good practice i like to see what i'm signing beforehand,the one thing i didn't like is that i had to digitally sign the treatment agreement without being able to read it first she could give me a copy only after i had signed not a good practice i like to see what i'm signing beforehand,the one thing I do not like be that I have to digitally sign the treatment agreement without be able to read it first she could give I a copy only after I have sign not a good practice I like to see what I ' m sign beforehand,the one thing i do not like be that i have to digit sign the treatment agreement without be abl to read it first she could give i a copi onli after i have sign not a good practic i like to see what i ' m sign beforehand,"('the', 'one'), ('one', 'thing'), ('thing', 'i'), ('i', 'do'), ('do', 'not'), ('not', 'like'), ('like', 'be'), ('be', 'that'), ('that', 'i'), ('i', 'have'), ('have', 'to'), ('to', 'digit'), ('digit', 'sign'), ('sign', 'the'), ('the', 'treatment'), ('treatment', 'agreement'), ('agreement', 'without'), ('without', 'be'), ('be', 'abl'), ('abl', 'to'), ('to', 'read'), ('read', 'it'), ('it', 'first'), ('first', 'she'), ('she', 'could'), ('could', 'give'), ('give', 'i'), ('i', 'a'), ('a', 'copi'), ('copi', 'onli'), ('onli', 'after'), ('after', 'i'), ('i', 'have'), ('have', 'sign'), ('sign', 'not'), ('not', 'a'), ('a', 'good'), ('good', 'practic'), ('practic', 'i'), ('i', 'like'), ('like', 'to'), ('to', 'see'), ('see', 'what'), ('what', 'i'), ('i', ""'""), (""'"", 'm'), ('m', 'sign'), ('sign', 'beforehand')","('the', 'one', 'thing'), ('one', 'thing', 'i'), ('thing', 'i', 'do'), ('i', 'do', 'not'), ('do', 'not', 'like'), ('not', 'like', 'be'), ('like', 'be', 'that'), ('be', 'that', 'i'), ('that', 'i', 'have'), ('i', 'have', 'to'), ('have', 'to', 'digit'), ('to', 'digit', 'sign'), ('digit', 'sign', 'the'), ('sign', 'the', 'treatment'), ('the', 'treatment', 'agreement'), ('treatment', 'agreement', 'without'), ('agreement', 'without', 'be'), ('without', 'be', 'abl'), ('be', 'abl', 'to'), ('abl', 'to', 'read'), ('to', 'read', 'it'), ('read', 'it', 'first'), ('it', 'first', 'she'), ('first', 'she', 'could'), ('she', 'could', 'give'), ('could', 'give', 'i'), ('give', 'i', 'a'), ('i', 'a', 'copi'), ('a', 'copi', 'onli'), ('copi', 'onli', 'after'), ('onli', 'after', 'i'), ('after', 'i', 'have'), ('i', 'have', 'sign'), ('have', 'sign', 'not'), ('sign', 'not', 'a'), ('not', 'a', 'good'), ('a', 'good', 'practic'), ('good', 'practic', 'i'), ('practic', 'i', 'like'), ('i', 'like', 'to'), ('like', 'to', 'see'), ('to', 'see', 'what'), ('see', 'what', 'i'), ('what', 'i', ""'""), ('i', ""'"", 'm'), (""'"", 'm', 'sign'), ('m', 'sign', 'beforehand')"
thank you,thank you,thank you,thank you,"('thank', 'you')",
i had incidents at my mammogram which were surprising and not up to the usual level of excellence at advanced radiology the first was that when i was shown to a dressing room there was a robe and package wrapper left there from the previous patient the technician took them away but it was still a little offputting because every patient likes to think that they're getting a fresh clean dressing room the second was that when i was being set up for the first picture the machine was set too high i am short ft and have very large breasts and i actually said ow loudly and told her it was too high when she tried to lift up my breast to where the plate was i told her the machine had to be lowered which she did all of the other times i've had mammograms the technician can see that i'm short and they lower the machine before we get started,i had incidents at my mammogram which were surprising and not up to the usual level of excellence at advanced radiology the first was that when i was shown to a dressing room there was a robe and package wrapper left there from the previous patient the technician took them away but it was still a little offputting because every patient likes to think that they're getting a fresh clean dressing room the second was that when i was being set up for the first picture the machine was set too high i am short ft and have very large breasts and i actually said ow loudly and told her it was too high when she tried to lift up my breast to where the plate was i told her the machine had to be lowered which she did all of the other times i've had mammograms the technician can see that i'm short and they lower the machine before we get started,I have incident at my mammogram which be surprising and not up to the usual level of excellence at advanced radiology the first be that when I be show to a dressing room there be a robe and package wrapper leave there from the previous patient the technician take they away but it be still a little offputting because every patient like to think that they be get a fresh clean dressing room the second be that when I be be set up for the first picture the machine be set too high I be short ft and have very large breast and I actually say ow loudly and tell she it be too high when she try to lift up my breast to where the plate be I tell she the machine have to be lower which she do all of the other time I ' ve have mammogram the technician can see that I ' m short and they lower the machine before we get start,i have incid at my mammogram which be surpris and not up to the usual level of excel at advanc radiolog the first be that when i be show to a dress room there be a robe and packag wrapper leav there from the previous patient the technician take they away but it be still a littl offput becaus everi patient like to think that they be get a fresh clean dress room the second be that when i be be set up for the first pictur the machin be set too high i be short ft and have veri larg breast and i actual say ow loud and tell she it be too high when she tri to lift up my breast to where the plate be i tell she the machin have to be lower which she do all of the other time i ' ve have mammogram the technician can see that i ' m short and they lower the machin befor we get start,"('i', 'have'), ('have', 'incid'), ('incid', 'at'), ('at', 'my'), ('my', 'mammogram'), ('mammogram', 'which'), ('which', 'be'), ('be', 'surpris'), ('surpris', 'and'), ('and', 'not'), ('not', 'up'), ('up', 'to'), ('to', 'the'), ('the', 'usual'), ('usual', 'level'), ('level', 'of'), ('of', 'excel'), ('excel', 'at'), ('at', 'advanc'), ('advanc', 'radiolog'), ('radiolog', 'the'), ('the', 'first'), ('first', 'be'), ('be', 'that'), ('that', 'when'), ('when', 'i'), ('i', 'be'), ('be', 'show'), ('show', 'to'), ('to', 'a'), ('a', 'dress'), ('dress', 'room'), ('room', 'there'), ('there', 'be'), ('be', 'a'), ('a', 'robe'), ('robe', 'and'), ('and', 'packag'), ('packag', 'wrapper'), ('wrapper', 'leav'), ('leav', 'there'), ('there', 'from'), ('from', 'the'), ('the', 'previous'), ('previous', 'patient'), ('patient', 'the'), ('the', 'technician'), ('technician', 'take'), ('take', 'they'), ('they', 'away'), ('away', 'but'), ('but', 'it'), ('it', 'be'), ('be', 'still'), ('still', 'a'), ('a', 'littl'), ('littl', 'offput'), ('offput', 'becaus'), ('becaus', 'everi'), ('everi', 'patient'), ('patient', 'like'), ('like', 'to'), ('to', 'think'), ('think', 'that'), ('that', 'they'), ('they', 'be'), ('be', 'get'), ('get', 'a'), ('a', 'fresh'), ('fresh', 'clean'), ('clean', 'dress'), ('dress', 'room'), ('room', 'the'), ('the', 'second'), ('second', 'be'), ('be', 'that'), ('that', 'when'), ('when', 'i'), ('i', 'be'), ('be', 'be'), ('be', 'set'), ('set', 'up'), ('up', 'for'), ('for', 'the'), ('the', 'first'), ('first', 'pictur'), ('pictur', 'the'), ('the', 'machin'), ('machin', 'be'), ('be', 'set'), ('set', 'too'), ('too', 'high'), ('high', 'i'), ('i', 'be'), ('be', 'short'), ('short', 'ft'), ('ft', 'and'), ('and', 'have'), ('have', 'veri'), ('veri', 'larg'), ('larg', 'breast'), ('breast', 'and'), ('and', 'i'), ('i', 'actual'), ('actual', 'say'), ('say', 'ow'), ('ow', 'loud'), ('loud', 'and'), ('and', 'tell'), ('tell', 'she'), ('she', 'it'), ('it', 'be'), ('be', 'too'), ('too', 'high'), ('high', 'when'), ('when', 'she'), ('she', 'tri'), ('tri', 'to'), ('to', 'lift'), ('lift', 'up'), ('up', 'my'), ('my', 'breast'), ('breast', 'to'), ('to', 'where'), ('where', 'the'), ('the', 'plate'), ('plate', 'be'), ('be', 'i'), ('i', 'tell'), ('tell', 'she'), ('she', 'the'), ('the', 'machin'), ('machin', 'have'), ('have', 'to'), ('to', 'be'), ('be', 'lower'), ('lower', 'which'), ('which', 'she'), ('she', 'do'), ('do', 'all'), ('all', 'of'), ('of', 'the'), ('the', 'other'), ('other', 'time'), ('time', 'i'), ('i', ""'""), (""'"", 've'), ('ve', 'have'), ('have', 'mammogram'), ('mammogram', 'the'), ('the', 'technician'), ('technician', 'can'), ('can', 'see'), ('see', 'that'), ('that', 'i'), ('i', ""'""), (""'"", 'm'), ('m', 'short'), ('short', 'and'), ('and', 'they'), ('they', 'lower'), ('lower', 'the'), ('the', 'machin'), ('machin', 'befor'), ('befor', 'we'), ('we', 'get'), ('get', 'start')","('i', 'have', 'incid'), ('have', 'incid', 'at'), ('incid', 'at', 'my'), ('at', 'my', 'mammogram'), ('my', 'mammogram', 'which'), ('mammogram', 'which', 'be'), ('which', 'be', 'surpris'), ('be', 'surpris', 'and'), ('surpris', 'and', 'not'), ('and', 'not', 'up'), ('not', 'up', 'to'), ('up', 'to', 'the'), ('to', 'the', 'usual'), ('the', 'usual', 'level'), ('usual', 'level', 'of'), ('level', 'of', 'excel'), ('of', 'excel', 'at'), ('excel', 'at', 'advanc'), ('at', 'advanc', 'radiolog'), ('advanc', 'radiolog', 'the'), ('radiolog', 'the', 'first'), ('the', 'first', 'be'), ('first', 'be', 'that'), ('be', 'that', 'when'), ('that', 'when', 'i'), ('when', 'i', 'be'), ('i', 'be', 'show'), ('be', 'show', 'to'), ('show', 'to', 'a'), ('to', 'a', 'dress'), ('a', 'dress', 'room'), ('dress', 'room', 'there'), ('room', 'there', 'be'), ('there', 'be', 'a'), ('be', 'a', 'robe'), ('a', 'robe', 'and'), ('robe', 'and', 'packag'), ('and', 'packag', 'wrapper'), ('packag', 'wrapper', 'leav'), ('wrapper', 'leav', 'there'), ('leav', 'there', 'from'), ('there', 'from', 'the'), ('from', 'the', 'previous'), ('the', 'previous', 'patient'), ('previous', 'patient', 'the'), ('patient', 'the', 'technician'), ('the', 'technician', 'take'), ('technician', 'take', 'they'), ('take', 'they', 'away'), ('they', 'away', 'but'), ('away', 'but', 'it'), ('but', 'it', 'be'), ('it', 'be', 'still'), ('be', 'still', 'a'), ('still', 'a', 'littl'), ('a', 'littl', 'offput'), ('littl', 'offput', 'becaus'), ('offput', 'becaus', 'everi'), ('becaus', 'everi', 'patient'), ('everi', 'patient', 'like'), ('patient', 'like', 'to'), ('like', 'to', 'think'), ('to', 'think', 'that'), ('think', 'that', 'they'), ('that', 'they', 'be'), ('they', 'be', 'get'), ('be', 'get', 'a'), ('get', 'a', 'fresh'), ('a', 'fresh', 'clean'), ('fresh', 'clean', 'dress'), ('clean', 'dress', 'room'), ('dress', 'room', 'the'), ('room', 'the', 'second'), ('the', 'second', 'be'), ('second', 'be', 'that'), ('be', 'that', 'when'), ('that', 'when', 'i'), ('when', 'i', 'be'), ('i', 'be', 'be'), ('be', 'be', 'set'), ('be', 'set', 'up'), ('set', 'up', 'for'), ('up', 'for', 'the'), ('for', 'the', 'first'), ('the', 'first', 'pictur'), ('first', 'pictur', 'the'), ('pictur', 'the', 'machin'), ('the', 'machin', 'be'), ('machin', 'be', 'set'), ('be', 'set', 'too'), ('set', 'too', 'high'), ('too', 'high', 'i'), ('high', 'i', 'be'), ('i', 'be', 'short'), ('be', 'short', 'ft'), ('short', 'ft', 'and'), ('ft', 'and', 'have'), ('and', 'have', 'veri'), ('have', 'veri', 'larg'), ('veri', 'larg', 'breast'), ('larg', 'breast', 'and'), ('breast', 'and', 'i'), ('and', 'i', 'actual'), ('i', 'actual', 'say'), ('actual', 'say', 'ow'), ('say', 'ow', 'loud'), ('ow', 'loud', 'and'), ('loud', 'and', 'tell'), ('and', 'tell', 'she'), ('tell', 'she', 'it'), ('she', 'it', 'be'), ('it', 'be', 'too'), ('be', 'too', 'high'), ('too', 'high', 'when'), ('high', 'when', 'she'), ('when', 'she', 'tri'), ('she', 'tri', 'to'), ('tri', 'to', 'lift'), ('to', 'lift', 'up'), ('lift', 'up', 'my'), ('up', 'my', 'breast'), ('my', 'breast', 'to'), ('breast', 'to', 'where'), ('to', 'where', 'the'), ('where', 'the', 'plate'), ('the', 'plate', 'be'), ('plate', 'be', 'i'), ('be', 'i', 'tell'), ('i', 'tell', 'she'), ('tell', 'she', 'the'), ('she', 'the', 'machin'), ('the', 'machin', 'have'), ('machin', 'have', 'to'), ('have', 'to', 'be'), ('to', 'be', 'lower'), ('be', 'lower', 'which'), ('lower', 'which', 'she'), ('which', 'she', 'do'), ('she', 'do', 'all'), ('do', 'all', 'of'), ('all', 'of', 'the'), ('of', 'the', 'other'), ('the', 'other', 'time'), ('other', 'time', 'i'), ('time', 'i', ""'""), ('i', ""'"", 've'), (""'"", 've', 'have'), ('ve', 'have', 'mammogram'), ('have', 'mammogram', 'the'), ('mammogram', 'the', 'technician'), ('the', 'technician', 'can'), ('technician', 'can', 'see'), ('can', 'see', 'that'), ('see', 'that', 'i'), ('that', 'i', ""'""), ('i', ""'"", 'm'), (""'"", 'm', 'short'), ('m', 'short', 'and'), ('short', 'and', 'they'), ('and', 'they', 'lower'), ('they', 'lower', 'the'), ('lower', 'the', 'machin'), ('the', 'machin', 'befor'), ('machin', 'befor', 'we'), ('befor', 'we', 'get'), ('we', 'get', 'start')"
yes you should tell patients how long the procedure will last and have a count down timer to let them know when it will end i did not hear the technicians voice when it ended also if technician talked to me while the test was happening it would have been more comforting,yes you should tell patients how long the procedure will last and have a count down timer to let them know when it will end i did not hear the technicians voice when it ended also if technician talked to me while the test was happening it would have been more comforting,yes you should tell patient how long the procedure will last and have a count down timer to let they know when it will end I do not hear the technician voice when it end also if technician talk to I while the test be happen it would have be more comforting,yes you should tell patient how long the procedur will last and have a count down timer to let they know when it will end i do not hear the technician voic when it end also if technician talk to i while the test be happen it would have be more comfort,"('yes', 'you'), ('you', 'should'), ('should', 'tell'), ('tell', 'patient'), ('patient', 'how'), ('how', 'long'), ('long', 'the'), ('the', 'procedur'), ('procedur', 'will'), ('will', 'last'), ('last', 'and'), ('and', 'have'), ('have', 'a'), ('a', 'count'), ('count', 'down'), ('down', 'timer'), ('timer', 'to'), ('to', 'let'), ('let', 'they'), ('they', 'know'), ('know', 'when'), ('when', 'it'), ('it', 'will'), ('will', 'end'), ('end', 'i'), ('i', 'do'), ('do', 'not'), ('not', 'hear'), ('hear', 'the'), ('the', 'technician'), ('technician', 'voic'), ('voic', 'when'), ('when', 'it'), ('it', 'end'), ('end', 'also'), ('also', 'if'), ('if', 'technician'), ('technician', 'talk'), ('talk', 'to'), ('to', 'i'), ('i', 'while'), ('while', 'the'), ('the', 'test'), ('test', 'be'), ('be', 'happen'), ('happen', 'it'), ('it', 'would'), ('would', 'have'), ('have', 'be'), ('be', 'more'), ('more', 'comfort')","('yes', 'you', 'should'), ('you', 'should', 'tell'), ('should', 'tell', 'patient'), ('tell', 'patient', 'how'), ('patient', 'how', 'long'), ('how', 'long', 'the'), ('long', 'the', 'procedur'), ('the', 'procedur', 'will'), ('procedur', 'will', 'last'), ('will', 'last', 'and'), ('last', 'and', 'have'), ('and', 'have', 'a'), ('have', 'a', 'count'), ('a', 'count', 'down'), ('count', 'down', 'timer'), ('down', 'timer', 'to'), ('timer', 'to', 'let'), ('to', 'let', 'they'), ('let', 'they', 'know'), ('they', 'know', 'when'), ('know', 'when', 'it'), ('when', 'it', 'will'), ('it', 'will', 'end'), ('will', 'end', 'i'), ('end', 'i', 'do'), ('i', 'do', 'not'), ('do', 'not', 'hear'), ('not', 'hear', 'the'), ('hear', 'the', 'technician'), ('the', 'technician', 'voic'), ('technician', 'voic', 'when'), ('voic', 'when', 'it'), ('when', 'it', 'end'), ('it', 'end', 'also'), ('end', 'also', 'if'), ('also', 'if', 'technician'), ('if', 'technician', 'talk'), ('technician', 'talk', 'to'), ('talk', 'to', 'i'), ('to', 'i', 'while'), ('i', 'while', 'the'), ('while', 'the', 'test'), ('the', 'test', 'be'), ('test', 'be', 'happen'), ('be', 'happen', 'it'), ('happen', 'it', 'would'), ('it', 'would', 'have'), ('would', 'have', 'be'), ('have', 'be', 'more'), ('be', 'more', 'comfort')"
your entrance to building from parking lot on corporate drive is terrible i walk to the awning that says advanced radiology only to find that i must go to the entrance that says medical arts how is that clear what if i were handicapped or it was bad weather have you not noticed this,your entrance to building from parking lot on corporate drive is terrible i walk to the awning that says advanced radiology only to find that i must go to the entrance that says medical arts how is that clear what if i were handicapped or it was bad weather have you not noticed this,your entrance to build from parking lot on corporate drive be terrible I walk to the awning that say advanced radiology only to find that I must go to the entrance that say medical art how be that clear what if I be handicap or it be bad weather have you not notice this,your entranc to build from park lot on corpor drive be terribl i walk to the awn that say advanc radiolog onli to find that i must go to the entranc that say medic art how be that clear what if i be handicap or it be bad weather have you not notic this,"('your', 'entranc'), ('entranc', 'to'), ('to', 'build'), ('build', 'from'), ('from', 'park'), ('park', 'lot'), ('lot', 'on'), ('on', 'corpor'), ('corpor', 'drive'), ('drive', 'be'), ('be', 'terribl'), ('terribl', 'i'), ('i', 'walk'), ('walk', 'to'), ('to', 'the'), ('the', 'awn'), ('awn', 'that'), ('that', 'say'), ('say', 'advanc'), ('advanc', 'radiolog'), ('radiolog', 'onli'), ('onli', 'to'), ('to', 'find'), ('find', 'that'), ('that', 'i'), ('i', 'must'), ('must', 'go'), ('go', 'to'), ('to', 'the'), ('the', 'entranc'), ('entranc', 'that'), ('that', 'say'), ('say', 'medic'), ('medic', 'art'), ('art', 'how'), ('how', 'be'), ('be', 'that'), ('that', 'clear'), ('clear', 'what'), ('what', 'if'), ('if', 'i'), ('i', 'be'), ('be', 'handicap'), ('handicap', 'or'), ('or', 'it'), ('it', 'be'), ('be', 'bad'), ('bad', 'weather'), ('weather', 'have'), ('have', 'you'), ('you', 'not'), ('not', 'notic'), ('notic', 'this')","('your', 'entranc', 'to'), ('entranc', 'to', 'build'), ('to', 'build', 'from'), ('build', 'from', 'park'), ('from', 'park', 'lot'), ('park', 'lot', 'on'), ('lot', 'on', 'corpor'), ('on', 'corpor', 'drive'), ('corpor', 'drive', 'be'), ('drive', 'be', 'terribl'), ('be', 'terribl', 'i'), ('terribl', 'i', 'walk'), ('i', 'walk', 'to'), ('walk', 'to', 'the'), ('to', 'the', 'awn'), ('the', 'awn', 'that'), ('awn', 'that', 'say'), ('that', 'say', 'advanc'), ('say', 'advanc', 'radiolog'), ('advanc', 'radiolog', 'onli'), ('radiolog', 'onli', 'to'), ('onli', 'to', 'find'), ('to', 'find', 'that'), ('find', 'that', 'i'), ('that', 'i', 'must'), ('i', 'must', 'go'), ('must', 'go', 'to'), ('go', 'to', 'the'), ('to', 'the', 'entranc'), ('the', 'entranc', 'that'), ('entranc', 'that', 'say'), ('that', 'say', 'medic'), ('say', 'medic', 'art'), ('medic', 'art', 'how'), ('art', 'how', 'be'), ('how', 'be', 'that'), ('be', 'that', 'clear'), ('that', 'clear', 'what'), ('clear', 'what', 'if'), ('what', 'if', 'i'), ('if', 'i', 'be'), ('i', 'be', 'handicap'), ('be', 'handicap', 'or'), ('handicap', 'or', 'it'), ('or', 'it', 'be'), ('it', 'be', 'bad'), ('be', 'bad', 'weather'), ('bad', 'weather', 'have'), ('weather', 'have', 'you'), ('have', 'you', 'not'), ('you', 'not', 'notic'), ('not', 'notic', 'this')"
the staff was very friendly,the staff was very friendly,the staff be very friendly,the staff be veri friend,"('the', 'staff'), ('staff', 'be'), ('be', 'veri'), ('veri', 'friend')","('the', 'staff', 'be'), ('staff', 'be', 'veri'), ('be', 'veri', 'friend')"
the staff and technician were very friendly and professional the technician made sure i was comfortable during the testing,the staff and technician were very friendly and professional the technician made sure i was comfortable during the testing,the staff and technician be very friendly and professional the technician make sure I be comfortable during the testing,the staff and technician be veri friend and profession the technician make sure i be comfort dure the test,"('the', 'staff'), ('staff', 'and'), ('and', 'technician'), ('technician', 'be'), ('be', 'veri'), ('veri', 'friend'), ('friend', 'and'), ('and', 'profession'), ('profession', 'the'), ('the', 'technician'), ('technician', 'make'), ('make', 'sure'), ('sure', 'i'), ('i', 'be'), ('be', 'comfort'), ('comfort', 'dure'), ('dure', 'the'), ('the', 'test')","('the', 'staff', 'and'), ('staff', 'and', 'technician'), ('and', 'technician', 'be'), ('technician', 'be', 'veri'), ('be', 'veri', 'friend'), ('veri', 'friend', 'and'), ('friend', 'and', 'profession'), ('and', 'profession', 'the'), ('profession', 'the', 'technician'), ('the', 'technician', 'make'), ('technician', 'make', 'sure'), ('make', 'sure', 'i'), ('sure', 'i', 'be'), ('i', 'be', 'comfort'), ('be', 'comfort', 'dure'), ('comfort', 'dure', 'the'), ('dure', 'the', 'test')"
